_id,Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body,EPS Facility
2297,2017,1057,Goreway Station Partnership,Goreway Power Station,Brampton,221112,174828.514,0,954.324,1412.05,0,0,0,0,177195,"177,195","177,195",GDH Limited,
2298,2017,1058,Greater Toronto Airports Authority,Toronto Pearson International Airport,Mississauga,488190,63396.837,0,26.418,384.09,0,0,0,0,63808,"63,808","63,808",Enviro-Access Inc.,
2299,2017,1059,"Greenfield Energy Centre, LP",Greenfield Energy Centre LP,Courtright,221112,327159.3,0,1792.224,2645.974,0,0,0,0,331598,"331,598","331,598",GHG,
2300,2017,1060,Greenfield Global Inc.,Chatham,Chatham,325190,157302.09,524.4809,272.9537,964.8018,0,0,0,0,159065,"158,540","158,540",GHD Limited,
2301,2017,1061,Greenfield Global Inc.,Johnstown,Johnstown,325190,86288.62,277.2,35.7,469.65,0,0,0,0,87072,"86,794","86,794",GHD Limited,
2302,2017,1062,Highbury Canco Corporation,Highbury Canco Corporation,Leamington,311420,41527,0,17.178,225.99,0,0,0,0,41771,"41,771","41,771",Internat Energy Solutions Canada,
2303,2017,1063,Hamilton Health Sciences Corporation,McMaster University Medical Centre Co-generation Plant,Hamiton,622112,32280,0,13.44,186,0,0,0,0,32480,"32,480","32,480",RWDI Air Inc,
2304,2017,1065,Meridian Brick,Meridian Brick - Aldershot,Aldershot,327990,16792,0,4.41,58.9,0,0,0,0,16856,"16,856","16,856",NSF International,
2305,2017,1066,Meridian Brick,Meridian Brick - Burlington,Burlington,327990,35301,0,9.45,124,0,0,0,0,35435,"35,435","35,435",NSF International,
2306,2017,1068,Hiram Walker & Sons Ltd.,Walkerville,Windsor,312140,68274.19,0,28.35,372,0,0,0,0,68675,"68,675","68,675",RWDI,
2307,2017,1069,CRH Canada Group Inc.,Mississauga Cement Plant,Mississauga,327310,1119922.78,0,2833.929,938.06,0,0,0,0,1123695,"1,123,695","1,120,969",GHD Limited,
2308,2017,1070,Honda Canada Inc.,Honda of Canada Mfg.,Alliston,336110,60524.3,0,25.032,329.53,0,0,0,0,60879,"60,879","60,879",RWDI,
2309,2017,1072,Imperial Oil,Imperial Oil Nanticoke Refinery,Nanticoke,324110,936337.2,0,5638.374,3375.28,0,0,0,0,945351,"945,351","945,351",Stantec Consulting Ltd.,
2310,2017,1073,Imperial Oil,Sarnia Chemical Plant,Sarnia,325110,276659.402,0,774.333,1625.02,0,0,0,0,434788,"279,059","279,059",Stantec Consulting Ltd,
2311,2017,1074,Imperial Oil,Sarnia Refinery Plant,Sarnia,324110,1808503.816,0,14686.203,8722.47,0,0,0,0,1831913,"1,831,913","1,831,913",Stantec Consulting Ltd,
2312,2017,1075,Ingredion Canada Corporation,Ingredion Canada Corporation,Cardinal,311221,55920.4207,0,23.1615,305.0815,0,0,0,0,56249,"56,249","56,249",PWC,
2313,2017,1076,Ingredion Canada Corporation,Ingredion Canada Incorporated - London Plant,London,311221,122265,0,50.568,664.64,0,0,0,0,122981,"122,981","122,981",PWC,
2314,2017,1078,"Innophos Canada, Inc.","Innophos Canada, Inc.",Lowbanks,325189,33087,0,9.03,120.9,0,0,0,0,33217,"33,217","33,217",Intranet Energy Solutions Canada,
2315,2017,1079,Integrated Grain Processors Co-operative Incorporated,IGPC Ethanol Inc. - Aylmer Plant,Aylmer,325190,68519.4,362.34,33.6294,373.178,0,0,0,0,69289,"68,927","68,927",Stantec Consulting Ltd.,
2316,2017,1080,Interlake Acquisition Corporation Limited,Dunn Paper,St. Catharines,322121,22475.82,0,9.3,122.33,0,0,0,0,22608,"22,608","22,608",Internat Energy Solutions,
2317,2017,1081,INVISTA (Canada) Company,INVISTA (Canada) Company,Kingston,325220,85822.6,0,35.49,465,0,0,0,0,86324,"86,324","86,324",RWDI Air Inc.,
2318,2017,1082,INVISTA (Canada) Company,INVISTA (Canada) Company-Maitland Site,Maitland,325190,98901.99,0,23.1063,304.079,0,0,0,0,99230,"99,230","99,230",RWDI Air Inc.,
2319,2017,1083,Irving Consumer Products Limited,Irving Consumer Products Limited,Toronto,322121,62625.93,0,25.9119,340.938,0,0,0,0,62993,"62,993","62,993",GHD Limited,
2320,2017,1084,Ivaco Rolling Mills 2004 L. P.,Ivaco Rolling Mills,L'Orignal,331110,111370.891,0,26.376,346.89,0,0,0,0,111745,"111,745","111,745",Internat Energy Solutions Canada,
2321,2017,1085,Jungbunzlauer Canada Inc.,Jungbunzlauer Canada Inc.,Port Colborne,325190,135132.4168,0,55.9356,737.707,0,0,0,0,135927,"135,927","135,927",Internat Energy Solutions,
2322,2017,1086,Labatt Brewing Company Ltd,Labatt Brewing Company Ltd,London,312120,28549.482,0,11.739,154.69,0,0,0,0,28716,"28,716","28,716",Internat Energy Solutions Canada,
2323,2017,1087,Lafarge Canada Inc.,Bath Cement Plant,Bath,327310,749730.295,4451,242.13,856.53,0,0,0,0,755280,"750,829","750,722",RWDI Air Inc.,
